Name,Unnamed: 1,Full Stats - Break Points Faced,Career - Career High Rank (2011.07.04),Career - Career High Rank (2025.01.27),Career - Career High Rank (2025.02.24),Birthplace,TotalServicePointsWon,Turned pro,SecondServeReturnWon,BreakPointsConverted,Career - Career High Rank (2015.03.02),Height,Career - Career High Rank (2021.09.13),DoubleFaults,Career - Career High Rank (2024.08.05),YTD - Titles,Career - Career High Rank (2019.06.10),Career - Prize Money Singles & Doubles Combined,Career - Career High Rank (2022.09.12),Career - Career High Rank (2023.01.16),Career - W-L,Career - Career High Rank (2025.04.07),Career - Career High Rank (2024.05.06),Career - Career High Rank (2025.05.05),Full Stats - Return Games Played,ReturnPointsWon,Career - Career High Rank (2017.09.11),SecondServeWon,Career - Career High Rank (2024.06.24),Career - Career High Rank (2019.05.20),Career - Titles,Career - Career High Rank (2023.02.06),Career - Career High Rank (2025.04.21),Full Stats - Return Games Won,Career - Career High Rank (2024.07.15),Age,Career - Career High Rank (2024.10.21),Career - Career High Rank (2022.08.08),Career - Career High Rank (2022.01.31),FirstServeIn,Career - Career High Rank (2024.08.12),Career - Career High Rank (2024.11.18),Career - Career High Rank (2023.08.21),TotalPointsWon,Full Stats - Break Points Opportunities,Career - Career High Rank (2023.08.14),Career - Career High Rank (2024.02.12),Career - Career High Rank (2023.11.06),Career - Career High Rank (2019.07.15),FirstServeReturnWon,Career - Career High Rank (2024.08.26),Career - Career High Rank (2023.09.11),Career - Career High Rank (2023.06.19),Aces,Career - Career High Rank (2022.11.07),Career - Career High Rank (2024.01.08),Career - Career High Rank (2024.07.22),Career - Career High Rank (2021.10.04),Career - Career High Rank (2017.11.20),Career - Career High Rank (2022.02.28),Career - Career High Rank (2023.10.16),Weight,Career - Career High Rank (2025.03.31),YTD - Rank,Full Stats - Service Games Played,BreakPointsSaved,Career - Career High Rank (2018.11.05),Career - Career High Rank (2024.06.10),Career - Career High Rank (2022.07.11),Full Stats - Service Games Won,YTD - Prize Money,Career - Career High Rank (2022.08.29),FirstServeWon,Career - Career High Rank (2019.11.04),Plays,Career - Career High Rank (2022.06.13),Career - Career High Rank (2024.11.04),Career - Career High Rank (2018.07.02),Career - Career High Rank (2025.05.26),Career - Career High Rank (2024.04.15),Career - Career High Rank (2024.07.01),Career - Career High Rank (2025.04.14),Career - Career High Rank (2022.08.01),Career - Career High Rank (2016.11.07),Career - Career High Rank (2024.09.16),Career - Career High Rank (2022.10.31),Career - Career High Rank (2023.04.10),Career - Career High Rank (2020.09.21),Career - Career High Rank (2023.10.02),Career - Career High Rank (2024.09.09),Career - Career High Rank (2025.05.19),Career - Career High Rank (2021.08.09),Career - Career High Rank (2025.03.17),Career - Career High Rank (2025.03.03),Country,Wins,Losses,Win Rate,Height_cm,Weight_kg
Pedro Martinez,x,1492,1.0,9.0,36.0,"Alzira, Spain",0.59,2016.0,0.51,0.39,4.0,"6'1"" (185cm)",5.0,668,25.0,0,27.0,4961870,3.6666666666666665,27.0,78 - 106,55.333333333333336,26.5,17.333333333333332,2189,0.38,10.0,0.48,18.0,52.0,1,42.0,71.0,0.24,6.0,28,47.0,83.0,26.0,0.67,22.666666666666668,4.0,12.5,0.49,1334,48.0,27.0,21.0,8.0,0.3,62.0,53.0,18.333333333333332,371,28.5,36.0,31.0,21.0,5.0,31.0,37.0,168 lbs (76kg),72.0,48,2183,0.59,12.0,15.0,58.0,0.72,531708,22.0,0.65,9.0,"Right-Handed, Two-Handed Backhand",2.0,26.0,23.0,28.0,13.0,19.0,39.0,64.0,6.0,72.0,42.0,49.0,10.0,47.0,30.0,56.714285714285715,3.0,83.0,32.75,Spain,10,15,0.4,185,76
Roberto Bautista Agut,Youtube,4432,1.0,9.0,29.0,"Castellon de la Plana, Spain",0.64,2005.0,0.53,0.41,4.0,"6'0"" (183cm)",5.0,1315,25.0,0,27.0,19263944,3.6666666666666665,27.0,424 - 280,55.333333333333336,26.5,17.333333333333332,8299,0.39,10.0,0.54,18.0,52.0,12,42.0,71.0,0.26,6.0,37,47.0,83.0,26.0,0.66,22.666666666666668,4.0,12.5,0.52,5165,48.0,27.0,21.0,8.0,0.3,62.0,53.0,18.333333333333332,2114,28.5,36.0,31.0,21.0,5.0,31.0,37.0,165 lbs (75kg),72.0,49,8444,0.62,12.0,15.0,58.0,0.8,459855,22.0,0.7,9.0,"Right-Handed, Two-Handed Backhand",2.0,26.0,23.0,28.0,13.0,19.0,39.0,64.0,6.0,72.0,42.0,49.0,10.0,47.0,30.0,56.714285714285715,3.0,83.0,32.75,Spain,7,13,0.35,183,75
Zizou Bergs,x,489,1.0,9.0,29.0,"Lommel, Belgium",0.64,2018.0,0.49,0.38,4.0,"6'1"" (185cm)",5.0,223,25.0,0,27.0,1974896,3.6666666666666665,27.0,40 - 48,55.333333333333336,26.5,17.333333333333332,927,0.36,10.0,0.51,18.0,52.0,0,42.0,71.0,0.19,6.0,25,47.0,83.0,26.0,0.62,22.666666666666668,4.0,12.5,0.5,471,48.0,27.0,21.0,8.0,0.28,62.0,53.0,18.333333333333332,465,28.5,36.0,31.0,21.0,5.0,31.0,37.0,193 lbs (88kg),72.0,50,917,0.61,12.0,15.0,58.0,0.79,496037,22.0,0.72,9.0,"Right-Handed, Two-Handed Backhand",2.0,26.0,23.0,28.0,13.0,19.0,39.0,64.0,6.0,72.0,42.0,49.0,10.0,47.0,30.0,49.0,3.0,83.0,32.75,Belgium,17,11,0.6071428571428571,185,88
Camilo Ugo Carabelli,x,306,1.0,9.0,29.0,"Buenos Aires, Argentina",0.57,2016.0,0.49,0.45,4.0,"6'1"" (185cm)",5.0,96,25.0,0,27.0,1337446,3.6666666666666665,27.0,15 - 19,55.333333333333336,26.5,17.333333333333332,411,0.38,10.0,0.43,18.0,52.0,0,42.0,71.0,0.23,6.0,25,47.0,83.0,26.0,0.64,22.666666666666668,4.0,12.5,0.48,214,48.0,27.0,21.0,8.0,0.32,62.0,53.0,18.333333333333332,89,28.5,36.0,31.0,21.0,5.0,31.0,37.0,182 lbs (83kg),72.0,51,411,0.56,12.0,15.0,58.0,0.67,494374,22.0,0.66,9.0,"Right-Handed, Two-Handed Backhand",2.0,26.0,23.0,51.0,13.0,19.0,39.0,64.0,6.0,72.0,42.0,49.0,10.0,47.0,30.0,56.714285714285715,3.0,83.0,32.75,Argentina,11,10,0.5238095238095238,185,83
Quentin Halys,x,765,1.0,9.0,29.0,"Bondy, France",0.66,2012.0,0.45,0.35,4.0,"6'3"" (191cm)",5.0,551,25.0,0,27.0,3778089,3.6666666666666665,27.0,42 - 72,55.333333333333336,26.5,17.333333333333332,1576,0.33,10.0,0.48,18.0,52.0,0,42.0,71.0,0.15,6.0,28,47.0,83.0,26.0,0.59,22.666666666666668,4.0,12.5,0.49,648,48.0,27.0,21.0,8.0,0.25,62.0,53.0,18.333333333333332,1430,28.5,36.0,31.0,21.0,5.0,31.0,37.0,187 lbs (85kg),72.0,52,1592,0.66,12.0,15.0,58.0,0.84,482376,22.0,0.78,9.0,"Right-Handed, Two-Handed Backhand",2.0,26.0,23.0,28.0,13.0,19.0,39.0,64.0,6.0,72.0,42.0,49.0,10.0,47.0,30.0,50.0,3.0,83.0,32.75,France,7,10,0.4117647058823529,191,85
Tomas Martin Etcheverry,x,1081,1.0,9.0,29.0,"La Plata, Argentina",0.64,2017.0,0.49,0.37,4.0,"6'5"" (196cm)",5.0,269,25.0,0,27.0,4549804,3.6666666666666665,27.0,77 - 87,55.333333333333336,26.5,17.333333333333332,1970,0.37,10.0,0.51,18.0,52.0,0,42.0,71.0,0.21,6.0,25,47.0,83.0,26.0,0.65,22.666666666666668,4.0,12.5,0.5,1113,48.0,27.0,21.0,8.0,0.29,62.0,53.0,18.333333333333332,941,28.5,36.0,31.0,21.0,5.0,31.0,37.0,180 lbs (82kg),72.0,53,1963,0.64,12.0,15.0,58.0,0.8,659630,22.0,0.71,9.0,"Right-Handed, Two-Handed Backhand",2.0,26.0,23.0,28.0,13.0,19.0,39.0,64.0,6.0,72.0,42.0,49.0,10.0,47.0,30.0,56.714285714285715,3.0,83.0,32.75,Argentina,12,15,0.4444444444444444,196,82
Gabriel Diallo,Insta,262,1.0,9.0,29.0,"Montreal, Canada",0.63,2023.0,0.46,0.36,4.0,"6'8"" (203cm)",5.0,107,25.0,0,27.0,1341670,3.6666666666666665,27.0,21 - 25,55.333333333333336,26.5,17.333333333333332,486,0.35,10.0,0.48,18.0,52.0,0,42.0,71.0,0.19,6.0,23,47.0,83.0,26.0,0.67,22.666666666666668,4.0,12.5,0.5,252,48.0,27.0,21.0,8.0,0.29,62.0,53.0,18.333333333333332,295,28.5,36.0,31.0,21.0,5.0,31.0,37.0,198 lbs (90kg),72.0,54,494,0.61,12.0,15.0,58.0,0.79,462432,22.0,0.71,9.0,"Right-Handed, Two-Handed Backhand",2.0,26.0,23.0,28.0,13.0,19.0,39.0,64.0,6.0,72.0,42.0,49.0,10.0,47.0,30.0,53.0,3.0,83.0,32.75,Canada,10,10,0.5,203,90
Jacob Fearnley,x,118,1.0,9.0,29.0,Worcester,0.63,2015.629213483146,0.5,0.38,4.0,"6'0"" (183cm)",5.0,85,25.0,0,27.0,721346,3.6666666666666665,27.0,11 - 11,55.333333333333336,26.5,17.333333333333332,246,0.36,10.0,0.51,18.0,52.0,0,42.0,71.0,0.22,6.0,23,47.0,83.0,26.0,0.6,22.666666666666668,4.0,12.5,0.5,140,48.0,27.0,21.0,8.0,0.29,62.0,53.0,18.333333333333332,116,28.5,36.0,31.0,21.0,5.0,31.0,37.0,176 lbs (80kg),72.0,55,242,0.56,12.0,15.0,58.0,0.79,406978,22.0,0.71,9.0,"Right-Handed, Two-Handed Backhand",2.0,26.0,23.0,28.0,13.0,19.0,39.0,64.0,6.0,72.0,42.0,49.0,10.0,47.0,30.0,54.0,3.0,83.0,32.75,Great Britain,9,8,0.5294117647058824,183,80
Fabian Marozsan,Insta,600,1.0,9.0,29.0,"Budapest, Hungary",0.63,2017.0,0.52,0.38,4.0,"6'4"" (193cm)",5.0,214,25.0,0,27.0,2885944,3.6666666666666665,27.0,49 - 50,55.333333333333336,36.0,17.333333333333332,1136,0.37,10.0,0.51,18.0,52.0,0,42.0,71.0,0.21,6.0,25,47.0,83.0,26.0,0.64,22.666666666666668,4.0,12.5,0.5,635,48.0,27.0,21.0,8.0,0.27,62.0,53.0,18.333333333333332,458,28.5,36.0,31.0,21.0,5.0,31.0,37.0,165 lbs (75kg),72.0,56,1157,0.59,12.0,15.0,58.0,0.78,647225,22.0,0.7,9.0,"Right-Handed, Two-Handed Backhand",2.0,26.0,23.0,28.0,13.0,19.0,39.0,64.0,6.0,72.0,42.0,49.0,10.0,47.0,30.0,56.714285714285715,3.0,83.0,32.75,Hungary,14,13,0.5185185185185185,193,75
Jaume Munar,x,1930,1.0,9.0,29.0,"Santanyi, Mallorca, Spain",0.61,2014.0,0.5,0.38,4.0,"6'0"" (183cm)",5.0,754,25.0,0,27.0,5410104,3.6666666666666665,27.0,103 - 145,55.333333333333336,26.5,17.333333333333332,3017,0.39,10.0,0.48,18.0,52.0,0,42.0,71.0,0.24,6.0,28,47.0,83.0,26.0,0.65,22.666666666666668,4.0,12.5,0.5,1939,48.0,27.0,21.0,8.0,0.32,62.0,53.0,18.333333333333332,871,28.5,36.0,31.0,21.0,5.0,31.0,37.0,168 lbs (76kg),72.0,57,3027,0.59,12.0,15.0,58.0,0.74,600011,22.0,0.68,9.0,"Right-Handed, Two-Handed Backhand",2.0,26.0,23.0,28.0,13.0,19.0,39.0,64.0,6.0,72.0,42.0,49.0,10.0,47.0,30.0,56.714285714285715,3.0,83.0,32.75,Spain,13,11,0.5416666666666666,183,76
Kei Nishikori,x,4177,1.0,9.0,29.0,"Shimane, Japan",0.64,2007.0,0.53,0.41,4.0,"5'10"" (178cm)",5.0,1676,25.0,0,27.0,25973785,3.6666666666666665,27.0,451 - 230,55.333333333333336,26.5,17.333333333333332,8062,0.39,10.0,0.53,18.0,52.0,12,42.0,71.0,0.27,6.0,35,47.0,83.0,26.0,0.62,22.666666666666668,4.0,12.5,0.51,5310,48.0,27.0,21.0,8.0,0.3,62.0,53.0,18.333333333333332,2127,28.5,36.0,31.0,21.0,5.0,31.0,37.0,161 lbs (73kg),72.0,58,8009,0.61,12.0,15.0,58.0,0.8,323778,22.0,0.7,9.0,"Right-Handed, Two-Handed Backhand",2.0,26.0,23.0,28.0,13.0,19.0,39.0,64.0,6.0,72.0,42.0,49.0,10.0,47.0,30.0,56.714285714285715,3.0,83.0,32.75,Japan,10,9,0.5263157894736842,178,73
Laslo Djere,Insta,2068,1.0,9.0,29.0,"Senta, Serbia",0.63,2013.0,0.49,0.38,4.0,"6'2"" (188cm)",5.0,970,25.0,1,27.0,6252527,3.6666666666666665,27.0,154 - 154,55.333333333333336,26.5,17.333333333333332,3635,0.37,10.0,0.5,18.0,52.0,3,42.0,71.0,0.21,6.0,29,47.0,83.0,26.0,0.61,22.666666666666668,4.0,12.5,0.5,2006,48.0,27.0,21.0,8.0,0.29,62.0,53.0,18.333333333333332,1603,28.5,36.0,31.0,21.0,5.0,31.0,37.0,181 lbs (82kg),72.0,59,3623,0.62,12.0,15.0,58.0,0.78,346468,22.0,0.71,9.0,"Right-Handed, Two-Handed Backhand",2.0,26.0,23.0,28.0,13.0,19.0,39.0,64.0,6.0,72.0,42.0,49.0,10.0,47.0,30.0,56.714285714285715,3.0,83.0,32.75,Serbia,12,4,0.75,188,82
Benjamin Bonzi,x,784,1.0,9.0,29.0,"Nimes, France",0.64,2015.0,0.5,0.39,4.0,"6'0"" (183cm)",5.0,254,25.0,0,27.0,3317989,3.6666666666666665,27.0,52 - 67,55.333333333333336,26.5,17.333333333333332,1422,0.36,10.0,0.52,18.0,52.0,1,42.0,71.0,0.2,6.0,28,47.0,83.0,26.0,0.61,22.666666666666668,4.0,12.5,0.5,747,48.0,27.0,21.0,8.0,0.28,62.0,53.0,18.333333333333332,711,28.5,36.0,31.0,21.0,5.0,31.0,37.0,180 lbs (82kg),72.0,60,1435,0.63,12.0,15.0,58.0,0.8,366518,22.0,0.72,9.0,"Right-Handed, Two-Handed Backhand",2.0,26.0,23.0,28.0,13.0,19.0,39.0,64.0,6.0,72.0,42.0,49.0,10.0,47.0,30.0,56.714285714285715,3.0,83.0,32.75,France,6,8,0.42857142857142855,183,82
Alejandro Tabilo,Insta,783,1.0,9.0,29.0,"Toronto, Canada",0.63,2015.0,0.5,0.4,4.0,"6'2"" (188cm)",5.0,320,25.0,0,27.0,3791423,3.6666666666666665,27.0,61 - 65,55.333333333333336,26.5,17.333333333333332,1378,0.37,10.0,0.48,18.0,52.0,2,42.0,71.0,0.21,6.0,27,47.0,83.0,26.0,0.63,22.666666666666668,4.0,12.5,0.5,735,48.0,27.0,21.0,8.0,0.29,62.0,53.0,18.333333333333332,737,28.5,36.0,31.0,21.0,5.0,31.0,37.0,165 lbs (75kg),72.0,61,1405,0.62,12.0,15.0,58.0,0.79,369028,22.0,0.72,9.0,"Left-Handed, Two-Handed Backhand",2.0,26.0,23.0,28.0,13.0,19.0,39.0,64.0,6.0,72.0,42.0,49.0,10.0,47.0,30.0,56.714285714285715,3.0,83.0,32.75,Chile,4,10,0.2857142857142857,188,75
Alexander Bublik,x,2036,1.0,9.0,29.0,"Gatchina, Russia",0.63,2016.0,0.46,0.39,4.0,"6'5"" (196cm)",5.0,2044,25.0,0,27.0,8163052,3.6666666666666665,27.0,159 - 163,55.333333333333336,17.0,17.333333333333332,3743,0.35,10.0,0.45,18.0,52.0,4,42.0,71.0,0.18,6.0,27,47.0,83.0,26.0,0.59,22.666666666666668,4.0,12.5,0.49,1764,48.0,27.0,21.0,8.0,0.28,62.0,53.0,18.333333333333332,3692,28.5,36.0,31.0,21.0,5.0,31.0,37.0,180 lbs (82kg),72.0,62,3751,0.62,12.0,15.0,58.0,0.79,509866,22.0,0.77,9.0,"Right-Handed, Two-Handed Backhand",2.0,26.0,23.0,28.0,13.0,19.0,39.0,64.0,6.0,72.0,42.0,49.0,10.0,47.0,30.0,56.714285714285715,3.0,83.0,32.75,Kazakhstan,7,13,0.35,196,82
Roberto Carballes Baena,x,2135,1.0,9.0,29.0,"Tenerife, Spain",0.61,2011.0,0.51,0.42,4.0,"6'0"" (183cm)",5.0,785,25.0,0,27.0,5748127,3.6666666666666665,27.0,127 - 158,55.333333333333336,26.5,17.333333333333332,3396,0.38,10.0,0.5,18.0,52.0,2,42.0,71.0,0.23,6.0,32,47.0,83.0,26.0,0.63,22.666666666666668,4.0,12.5,0.49,1906,48.0,27.0,21.0,8.0,0.3,62.0,53.0,18.333333333333332,769,28.5,36.0,31.0,21.0,5.0,31.0,37.0,170 lbs (77kg),72.0,63,3358,0.58,12.0,15.0,58.0,0.73,420126,22.0,0.67,9.0,"Right-Handed, Two-Handed Backhand",2.0,26.0,23.0,28.0,13.0,19.0,39.0,64.0,6.0,72.0,42.0,49.0,10.0,47.0,30.0,56.714285714285715,3.0,83.0,32.75,Spain,9,12,0.42857142857142855,183,77
Francisco Comesana,x,230,1.0,9.0,29.0,Mar del Plata,0.64,2015.629213483146,0.46,0.34,4.0,"5'10"" (178cm)",5.0,92,25.0,0,27.0,1236086,3.6666666666666665,27.0,13 - 17,61.0,26.5,17.333333333333332,428,0.35,10.0,0.5,18.0,52.0,0,42.0,71.0,0.16,6.0,24,47.0,83.0,26.0,0.62,22.666666666666668,4.0,12.5,0.49,208,48.0,27.0,21.0,8.0,0.29,62.0,53.0,18.333333333333332,234,28.5,36.0,31.0,21.0,5.0,31.0,37.0,158 lbs (72kg),72.0,64,432,0.61,12.0,15.0,58.0,0.79,431620,22.0,0.72,9.0,"Right-Handed, Two-Handed Backhand",2.0,26.0,23.0,28.0,13.0,19.0,39.0,64.0,6.0,72.0,42.0,49.0,10.0,47.0,30.0,56.714285714285715,3.0,83.0,32.75,Argentina,9,10,0.47368421052631576,178,72
Joao Fonseca,Insta,184,1.0,9.0,29.0,Rio de janeiro,0.64,2015.629213483146,0.48,0.36,4.0,"6'2"" (188cm)",5.0,66,25.0,1,27.0,1290400,3.6666666666666665,27.0,21 - 15,55.333333333333336,26.5,17.333333333333332,391,0.37,10.0,0.53,18.0,52.0,1,42.0,71.0,0.23,6.0,18,47.0,83.0,26.0,0.65,22.666666666666668,4.0,12.5,0.5,255,48.0,27.0,21.0,8.0,0.31,62.0,53.0,18.333333333333332,159,28.5,36.0,31.0,21.0,5.0,31.0,37.0,179 lbs (81kg),59.0,65,386,0.58,12.0,15.0,58.0,0.8,471693,22.0,0.7,9.0,"Right-Handed, Two-Handed Backhand",2.0,26.0,23.0,28.0,13.0,19.0,39.0,64.0,6.0,72.0,42.0,49.0,10.0,47.0,30.0,56.714285714285715,3.0,83.0,32.75,Brazil,10,7,0.5882352941176471,188,81
Daniel Altmaier,x,1113,1.0,9.0,29.0,"Kempen, Germany",0.62,2014.0,0.47,0.38,4.0,"6'2"" (188cm)",5.0,348,25.0,0,27.0,3833008,3.6666666666666665,27.0,53 - 95,55.333333333333336,26.5,17.333333333333332,1800,0.35,10.0,0.48,18.0,52.0,0,42.0,71.0,0.18,6.0,26,47.0,83.0,26.0,0.62,22.666666666666668,4.0,12.5,0.48,869,48.0,27.0,21.0,8.0,0.27,62.0,53.0,18.333333333333332,886,28.5,36.0,31.0,21.0,5.0,31.0,37.0,176 lbs (80kg),72.0,66,1787,0.62,12.0,15.0,58.0,0.76,521183,22.0,0.7,9.0,"Right-Handed, One-Handed Backhand",2.0,26.0,23.0,28.0,13.0,19.0,39.0,64.0,6.0,72.0,42.0,49.0,10.0,47.0,30.0,56.714285714285715,3.0,83.0,32.75,Germany,9,13,0.4090909090909091,188,80
Learner Tien,Insta,290,1.0,9.0,29.0,"Irvine, CA, USA",0.6,2023.0,0.53,0.39,4.0,"5'11"" (180cm)",5.0,108,25.0,0,27.0,1237089,3.6666666666666665,27.0,12 - 17,55.333333333333336,26.5,17.333333333333332,390,0.37,10.0,0.49,18.0,52.0,0,42.0,71.0,0.21,6.0,19,47.0,83.0,26.0,0.63,22.666666666666668,4.0,12.5,0.48,215,48.0,27.0,21.0,8.0,0.27,62.0,53.0,18.333333333333332,123,28.5,36.0,31.0,21.0,5.0,31.0,37.0,160 lbs (73kg),72.0,67,393,0.62,12.0,15.0,58.0,0.72,501675,22.0,0.66,9.0,"Left-Handed, Two-Handed Backhand",2.0,26.0,23.0,28.0,13.0,19.0,39.0,64.0,6.0,72.0,42.0,49.0,10.0,47.0,30.0,56.714285714285715,3.0,66.0,32.75,United States,7,11,0.3888888888888889,180,73
Mattia Bellucci,Insta,192,1.0,9.0,29.0,Busto Arsizio,0.65,2015.629213483146,0.45,0.3,4.0,"5'9"" (175cm)",5.0,90,25.0,0,27.0,1157944,3.6666666666666665,27.0,12 - 16,66.0,26.5,17.333333333333332,347,0.34,10.0,0.5,18.0,52.0,0,42.0,71.0,0.15,6.0,23,47.0,83.0,26.0,0.61,22.666666666666668,4.0,12.5,0.49,175,48.0,27.0,21.0,8.0,0.26,62.0,53.0,18.333333333333332,234,28.5,36.0,31.0,21.0,5.0,31.0,37.0,169 lbs (77kg),72.0,68,346,0.68,12.0,15.0,58.0,0.82,323964,22.0,0.74,9.0,"Left-Handed, Two-Handed Backhand",2.0,26.0,23.0,28.0,13.0,19.0,39.0,64.0,6.0,72.0,42.0,49.0,10.0,47.0,30.0,56.714285714285715,3.0,83.0,32.75,Italy,6,7,0.46153846153846156,175,77
Damir Dzumhur,x,2061,1.0,9.0,29.0,"Sarajevo, Bosnia-Herzegovina",0.59,2011.0,0.5,0.43,4.0,"5'9"" (175cm)",5.0,703,25.0,0,27.0,5601344,3.6666666666666665,27.0,140 - 155,55.333333333333336,26.5,17.333333333333332,3112,0.39,10.0,0.5,18.0,52.0,3,42.0,71.0,0.26,6.0,33,47.0,83.0,26.0,0.65,22.666666666666668,4.0,12.5,0.49,1914,48.0,27.0,21.0,8.0,0.32,62.0,53.0,18.333333333333332,607,28.5,36.0,31.0,21.0,5.0,31.0,37.0,150 lbs (68kg),72.0,69,3059,0.56,12.0,15.0,58.0,0.71,391370,22.0,0.65,9.0,"Right-Handed, Two-Handed Backhand",2.0,26.0,23.0,28.0,13.0,19.0,39.0,64.0,6.0,72.0,42.0,49.0,10.0,47.0,30.0,56.714285714285715,3.0,83.0,32.75,Bosnia-Herzegovina,11,10,0.5238095238095238,175,68
Yunchaokete Bu,Insta,202,1.0,9.0,29.0,"Xinjiang, China",0.64,2015.629213483146,0.47,0.41,4.0,"6'1"" (185cm)",5.0,50,25.0,0,27.0,1101988,3.6666666666666665,27.0,15 - 23,55.333333333333336,26.5,17.333333333333332,397,0.35,10.0,0.51,18.0,52.0,0,42.0,71.0,0.19,6.0,23,47.0,83.0,26.0,0.58,22.666666666666668,4.0,12.5,0.49,185,48.0,27.0,21.0,8.0,0.28,62.0,53.0,18.333333333333332,236,28.5,36.0,31.0,21.0,5.0,31.0,37.0,181 lbs (82kg),72.0,70,391,0.61,12.0,15.0,58.0,0.8,392948,22.0,0.73,9.0,"Right-Handed, Two-Handed Backhand",2.0,26.0,23.0,28.0,13.0,19.0,64.0,64.0,6.0,72.0,42.0,49.0,10.0,47.0,30.0,56.714285714285715,3.0,83.0,32.75,China,5,15,0.25,185,82
Juncheng Shang,Insta,472,1.0,9.0,29.0,"Beijing, China",0.63,2021.0,0.5,0.35,4.0,"5'11"" (180cm)",5.0,166,25.0,0,27.0,1860247,3.6666666666666665,27.0,32 - 34,55.333333333333336,26.5,17.333333333333332,835,0.36,10.0,0.53,18.0,52.0,1,42.0,71.0,0.2,6.0,20,47.0,83.0,26.0,0.63,22.666666666666668,4.0,12.5,0.49,463,48.0,27.0,21.0,8.0,0.27,62.0,53.0,18.333333333333332,280,28.5,36.0,31.0,21.0,5.0,31.0,37.0,162 lbs (73kg),72.0,71,829,0.63,12.0,15.0,58.0,0.79,116580,22.0,0.7,9.0,"Left-Handed, Two-Handed Backhand",2.0,26.0,23.0,28.0,13.0,19.0,39.0,64.0,6.0,72.0,42.0,49.0,10.0,47.0,30.0,56.714285714285715,3.0,83.0,32.75,China,3,2,0.6,180,73
Roman Safiullin,Insta,788,1.0,9.0,29.0,"Podolsk, Russia",0.64,2015.0,0.5,0.38,4.0,"6'1"" (185cm)",5.0,366,25.0,0,27.0,3555111,3.6666666666666665,27.0,53 - 65,55.333333333333336,26.5,17.333333333333332,1492,0.36,10.0,0.51,18.0,52.0,0,42.0,71.0,0.21,6.0,27,47.0,83.0,26.0,0.63,22.666666666666668,4.0,12.5,0.5,818,48.0,27.0,21.0,8.0,0.28,62.0,53.0,18.333333333333332,770,28.5,36.0,31.0,21.0,5.0,31.0,37.0,165 lbs (75kg),72.0,72,1498,0.62,12.0,15.0,58.0,0.8,306123,22.0,0.73,9.0,"Right-Handed, Two-Handed Backhand",2.0,26.0,23.0,28.0,13.0,19.0,39.0,64.0,6.0,72.0,42.0,49.0,10.0,47.0,30.0,56.714285714285715,3.0,83.0,32.75,,3,9,0.25,185,75
Corentin Moutet,Youtube,1447,1.0,9.0,29.0,"Paris, France",0.6,2016.0,0.5,0.38,4.0,"5'11"" (180cm)",5.0,480,25.0,0,27.0,4458341,3.6666666666666665,27.0,72 - 98,55.333333333333336,26.5,17.333333333333332,2219,0.38,10.0,0.49,18.0,52.0,0,42.0,71.0,0.23,6.0,26,47.0,83.0,26.0,0.67,22.666666666666668,4.0,12.5,0.49,1329,48.0,27.0,21.0,8.0,0.31,62.0,53.0,18.333333333333332,402,51.0,36.0,31.0,21.0,5.0,31.0,37.0,156 lbs (71kg),72.0,73,2185,0.58,12.0,15.0,58.0,0.72,473248,22.0,0.65,9.0,"Left-Handed, Two-Handed Backhand",2.0,26.0,23.0,28.0,13.0,19.0,39.0,64.0,6.0,72.0,42.0,49.0,10.0,47.0,30.0,56.714285714285715,3.0,83.0,32.75,France,8,9,0.47058823529411764,180,71
